code,default,en,id,jp
meet.our.people,meet.our.people,"Meet Our People","Talent kami",MPMRentスタッフ紹介
we.want.to.be.part.of.your.business,we.want.to.be.part.of.your.business,"We want to be part of your business","Kami ingin menjadi bagian dari bisnis Anda",お問合わせをお待ちしております。
contact.us,contact.us,"Contact Us","Hubungi Kami",お問い合わせ
our.head.office,our.head.office,"Our Head Office","Kantor Pusat",本社
find.us,"FIND US","FIND US","TEMUKAN KAMI",弊社へのアクセス
to.request.a.quote.or.want.to.meet.up.some.coffee.contact.us.directly.or.fill.out.the.form.and.we.will.get.back.to.you.promptly,"to.request.a.quote.or.want.to.meet.up.some.coffee,.contact.us.directly.or.fill.out.the.form,.and.we.will.get.back.to.you.promptly","To request a quote or want to meet up some coffee, contact us directly or fill out the form, and we will get back to you promptly","Untuk meminta penawaran atau ingin bertemu, hubungi kami langsung atau isi formulir, dan kami akan segera menghubungi Anda",
24.hours.contact.center.agent,"24 hours contact center agent","24 hours contact center agent","Agen <i>contact center</i> kami tersedia selama 24 jam",コンタクトセンターにて２４時間、
contact.center,contact.center,"Contact Center","Contact center",コンタクトセンター（24時間：英語、インドネシア語）
follow.us,follow.us,"Follow us","Ikuti kami"," フォローする"
lets.talk,"Let's Talk","Let's Talk","Hubungi Kami",ご連絡下さい
our.services,our.services,"Our Services","Layanan Kami",私たちのサービス
home.service.subtitle.section,home_service.subtitle_section,"As we are customer centric transportation services company, we ensure you the utmost reliability in our well-maintained fleet and the whole experience of renting car is smooth, fast, and hassle-free.","Sebagai perusahaan jasa yang mengutamakan kepuasan pelanggan, kami menjamin setiap armada kami selalu dalam kondisi prima dan senantiasa memberikan layanan penyewaan mobil yang mudah, cepat, dan bebas repot. ",当社は、お客様重視の輸送サービス会社として、安心してサービスをご利用頂く為に、レンタカー車両について十分なメンテナンスをしております。またレンタルに関する手続きをスムーズにし、お手間のかからないように致します
long.term.rental,long.term.rental,"Long Term Rental","Rental Jangka Panjang",長期レンタル
short.term.rental,short.term.rental,"Short Term Rental","Rental Jangka Pendek",短期レンタル
fleet.management.system,fleet.management.system,"Fleet Management System","<i>Fleet Management System</i>",レンタル車両管理システム
driver.services,driver.services,"Driver Services","Pelayanan Pengemudi",運転手サービス
japanese.clients.business.unit,japanese.clients.business.unit,"Japanese Clients Business Unit","Unit Bisnis Klien Jepang",
auction.and.pre.owned.car,auction.and.pre-owned.car,"Auction and Pre-owned Cars","Balai Lelang Dan Jual-Beli Mobil Bekas",中古車オークション
learn.more,learn.more,"Learn More","Pelajari lebih lanjut","Learn more"
back.to.news,back.to.news,"Back to News","Kembali ke halaman Berita",ニュースに戻る
other.news,other.news,"Other News","Berita Lain",
latest.news,latest.news,"Latest News","Berita Terbaru",最新ニュース
our.networks,our.networks,"Our Networks","Jaringan Kami",ネットワーク
we.are.available.here,we.are.available.here,"We Are Available Here","Lokasi Jaringan Kami",我々のサービスは以下の地域でご利用いただけます。
head.office,head.office,"Head office","Kantor Pusat",本社
branch,branch,Branch,Cabang,支店
service.representative,service.representative,"Service Points","Point Layanan","Service point"
about.us,about.us,"About Us","Tentang Kami",会社概要
car.rentals,car.rentals,"Car Rentals","Rental Mobil",カーレンタル
milestone,milestone,Milestones,"Tonggak sejarah",マイルストーン
certification.awards,certification.awards,"Certification & Awards","Sertifikasi & Penghargaan",認証、受賞
services,services,Services,Layanan,サービス
news,news,News,Berita,ニュース
career,career,Career,Karir,求人
contact,contact,Contact,Kontak,お問合わせ
types.of.rental.fleet,"Types of Rental Fleet","Types of Rental Fleet","Jenis Armada",レンタカー車両
an.array.of.exciting.car.for.rent.deals.are.waiting.just.for.you.we.have.a.complete.range.of.vehicles.to.accommodate.all.your.needs.whether.for.corporate.purpose.or.personal.pleasure,"an.array.of.exciting.car.for.rent.deals.are.waiting.just.for.you!.we.have.a.complete.range.of.vehicles.to.accommodate.all.your.needs,.whether.for.corporate.purpose.or.personal.pleasure","An array of exciting car for rent deals are waiting just for you! We have a complete range of vehicles to accommodate all your needs, whether for corporate purpose or personal pleasure","Berbagai jenis kendaraan dan penawaran sewa kendaraan menarik tersedia untuk Anda! Kami memiliki rangkaian lengkap kendaraan yang siap memenuhi kebutuhan Anda, baik untuk usaha maupun untuk keperluan pribadi.","企業様、個人様など、あらゆるニーズに対応させて頂くため、幅広い車両をご用意しております。 "
luxury,luxury,Luxury,"Mobil mewah",ラグジュアリー
passenger,passenger,Passenger,"Mobil penumpang",乗用車
logistic,logistic,Logistic,"Kendaraan logistik",配送用車両
heavy.duty,heavy.duty,"Heavy Duty","Kendaraan <i>heavy duty</i>",業務用車両
sort.term.rental,sort.term.rental,"Sort Term Rental","Sewa Jangka Pendek",
customer.satisfaction,customer.satisfaction,"Customer Satisfaction","Kepuasan Pelanggan",お客様満足度
our.partners,our.partners,"Our Partners","Partner Kami",
certivications.awards,certivications.awards,"Certifications & Awards","Sertifikasi & Penghargaan",認証、受賞
we.offer.reliable.services.guided.by.our.core.values.of.responsible.excellent.lean.integrity.adaptive.better.loyal.and.empower,we.offer.reliable.services.guided.by.our.core.values.of.responsible.excellent.lean.integrity.adaptive.better.loyal.and.empower,"We offer RELIABLE services guided by our core values of Responsible, Excellent, Lean, Integrity, Adaptive, Better, Loyal and Empower",,
we.offer.world.class.service.with.track.record.of.the.highest.safety.standard,we.offer.world.class.service.with.track.record.of.the.highest.safety.standard,"We offer world-class service with track record of the highest safety standard",,
total.fleet.in.services,total.fleet.in.services,"Total Fleet in Services",,
drivers,drivers,Drivers,Pengemudi,
nationwide,nationwide,Nationwide,,
all.around.indonesia,all.around.indonesia,"All around Indonesia","Seluruh Indonesia",
24.hours.7.days,24.hours.7.days,"24 hours / 7 days","24 jam / 7 hari",
20.years.of.service,20.years.of.service,"20 years of service","20 tahun pelayanan",
certivication.awards,certivication.awards,"Certification & Awards","Sertifikasi & Penghargaan",認証、受賞
mpm.rent.is.focused.on.maintaining.a.safe.working.environment.throughout.the.company.to.ensure.customer.satisfaction.employee.well.being,mpm.rent.is.focused.on.maintaining.a.safe.working.environment.throughout.the.company.to.ensure.customer.satisfaction.employee.well.being,"MPM Rent is focused on maintaining a safe working environment throughout the company to ensure customer satisfaction & employee well-being",,
mpm.rent.has.been.awarded,mpm.rent.has.been.awarded,"MPM Rent has been awarded",,
certifications,certifications,Certifications,Sertifikasi,認証
health.safety.certification,health.safety.certification,"Health & Safety Certification","Sertifikasi Kesehatan & Keselamatan",
lktp.awards,lktp.awards,"LKTP Awards",,
explore.your.career.path.at,explore.your.career.path.at,"Explore your career path at","Kembangkan kesempatan berkarir Anda di ",
apply.now,apply.now,"APPLY NOW","LAMAR SEKARANG",
in.carrying.out.it.roles.duties.and.responsibilities.the.company.applies.values.and.corporate.cultures.contained.in.the.following.three.credo.elements,in.carrying.out.it.roles.duties.and.responsibilities.the.company.applies.values.and.corporate.cultures.contained.in.the.following.three.credo.elements,"In carrying out it roles, duties, and responsibilities, the Company applies values and corporate cultures contained in the following three CREDO elements",,
progressive.thinking,progressive.thinking,"Progressive Thinking",,
we.believe.in.the.power.of.ideas.no.matter.where.they.come.from.we.embrace.new.ideas.and.new.knowledge.to.help.us.progress,we.believe.in.the.power.of.ideas.no.matter.where.they.come.from.we.embrace.new.ideas.and.new.knowledge.to.help.us.progress,"We believe in the power of ideas. No matter where they come from, we embrace new ideas and new knowledge to help us progress"," ",
active.ownership,active.ownership,"Active Ownership",,
we.believe.our.actions.will.impact.others,we.believe.our.actions.will.impact.others,"We believe our actions will impact others",,
being.excited.to.take.personal.ownership.of.our.actions.and.being.proactive.will.lead.to.the.success.of.our.ecosystem,being.excited.to.take.personal.ownership.of.our.actions.and.being.proactive.will.lead.to.the.success.of.our.ecosystem,"Being excited to take personal ownership of our actions and being proactive will lead to the success of our ecosystem",,
collaboration,collaboration,Collaboration,Kolaborasi,
we.believe.that.the.most.impactful.realization.of.our.dreams.happens.when.we.work.jointly.together.and.remove.our.constraints.to.deliver.the.collective.power.of.our.people,we.believe.that.the.most.impactful.realization.of.our.dreams.happens.when.we.work.jointly.together.and.remove.our.constraints.to.deliver.the.collective.power.of.our.people,"We believe that the most impactful realization of our dreams happens when we work jointly together and remove our constraints to deliver the collective power of our people",,私たちは、垣根を取りのぞき協力し、人々の団結力が発揮される時に、最も効果的に目的が達成されると信じています。
send,send,SEND,KIRIM,送る
japan.business.unit,japan.business.unit,"Japan Business Unit","Unit Bisnis Jepang",
read.more,read.more,"Read More","Baca lebih lanjut"," 続きを読む"
name,name,Name,Nama,フルネーム
phone.number,phone.number,"Phone Number","Nomor Telepon",電話番号
message,message,Message,Pesan," メッセージ"
auction.and.pre.owned.cars,auction.and.pre.owned.cars,"Auction and Pre-owned Car","Balai Lelang Dan Jual-Beli Mobil Bekas",中古車オークション
will.support.you.for.any.inquiries,will.support.you.for.any.inquiries,"will support you for any inquiries"," dan akan membantu setiap kebutuhan Anda.",お客様のお問い合わせをサポート致します。
profile,profile,Profile,Profil,プロフィール
management,management,Management,Manajemen,マネージメント
company.name,company.name,"Company Name","Company Name",会社
rental.fleet,"Rental Fleet","Rental Fleet","Jenis Armada",レンタカー車両
our.clients,our.clients,"Our Clients","Pelanggan Kami",MPM-RENTのお取引先
japanese.clients,"Japanese Clients",,"Pelanggan Jepang",日系企業及び日本人
multinational.company,"Multinational Company","Multinational Company","Perusahaan multinasional",多国籍企業
contact.us.directly.or.fill.out.the.form.and.we.will.get.back.to.you.promptly,"contact.us.directly.or.fill.out.the.form,.and.we.will.get.back.to.you.promptly","Contact us directly or fill out the form, and we will get back to you promptly","Hubungi kami secara langsung atau melalui pengisian formulir. Kami akan segera menghubungi Anda.",弊社に直接お問い合わせいただくか、フォームにご記入ください。担当より迅速にご連絡させていただきます
big.mpv,big.mpv,"Big MPV","Big MPV",ボックス車（大型）
medium.mpv,medium.mpv,"Medium MPV","Medium MPV",ボックス車（中型）
small.mpv,small.mpv,"Smal MPV","Small MPV",ボックス車（小型）
suv,suv,SUV,SUV,SUV車
medium.suv,medium.suv,"Medium SUV","Medium SUV",SUV車（中型）
mpv,mpv,MPV,MPV,ボックス車
sedan,sedan,Sedan,Sedan,セダン車
blind.van,blind.van,"Blind VAN","Blind Van",ブラインドバン
fe.74,fe.74,"FE 74","FE 74",ライトバン
single.cabin,single.cabin,"Single Cabin","Single Cabin",シングルキャビン
double.cabin,double.cabin,"Double Cabin","Double Cabin","ダブルキャビン "
multi.national.company,multi.national.company,"Multinational Company","Perusahaan multinasional",多国籍企業
local.company,local.company,,"Perusahaan Lokal",インドネシア企業
faq,FAQ,FAQ,FAQ,よくある質問
contact.us2,contact.us2,"Contact Us","Kontak Kami",お問い合わせ
privacy.policy,privacy.policy,"Privacy Policy","Kebijakan Privasi",個人情報保護方針
share,Share,,Bagikan,シェア
our.customer.testimonials,"Our Customer Testimonials",,,
order.name,order.name,"Full Name","Nama Lengkap",
order.phone.number,order.phone.number,Mobile,"No. HP",
order.company.name,order.company.name,Company,Perusahaan,
order.company.size,order.company.size,"Company Size","Ukuran Perusahaan",
order.position,order.position,"Job Title",Jabatan,
order.region,order.region,Region,Wilayah,
order.service.needed,order.service.needed,"Service Needed",Kebutuhan,
cp.form.name,cp.form.name,"Full Name","Nama Lengkap",
cp.form.phone.number,cp.form.phone.number,Mobile,"No. HP",
cp.form.company.name,cp.form.company.name,Company,Perusahaan,
cp.form.title,cp.form.title,"Company profile","Formulir Unduh Profil Perusahaan",
cp.form.title.download,cp.form.title.download,"Request Company Profile Form","Formulir Permintaan Profil Perusahaan",
cp.form.title.download.desc,cp.form.title.download.desc,"Fill in the form to download.","Isi formulir ini untuk mendownload.",
order.company.phone,order_company_phone,"Office Phone Number","No. Telp Kantor",
rent.now,rent.now,"Rent Now","Sewa Sekarang",
order.form.title,order.form.title,,,
order.form.description,order.form.description,,,
order.form.choose.service,order.form.choose.service,,,
order.form.car.rentals,order.form.car.rentals,,,
order.form.auction,order.form.auction,,,
order.form.man.power,order.form.man.power,,,
order.form.eligible.to.contact,order.form.eligible.to.contact,,,
order.form.immediately,order.form.immediately,,,
order.form.weekend,order.form.weekend,,,
order.form.office.hours,order.form.office.hours,,,
order.form.after.office.hours,order.form.after.office.hours,,"Setelah Jam Kera",
order.form.service.needed,order.form.service.needed,,,
order.form.morethen.3.months,order.form.morethen.3.months,,,
order.form.lessthen.3.months,order.form.lessthen.3.months,,,
order.choose.service,order.choose.service,"Choose Services","Pilihan Layanan",
order.car.rentals,order.car.rentals,"Car Rentals","Rental Mobil",
order.auction,order.auction,Auction,Lelang,
order.man.power,order.man.power,"Man Power","Man Power",
order.eligible.to.contact,order.eligible.to.contact,"Preferred Contact Hour","Bersedia Dihubungi",
order.immediately,order.immediately,Immediately,Segera,
order.weekend,order.weekend,Weekend,"Akhir pekan",
order.office.hours,order.office.hours,"Office hours","Jam Kerja",
order.after.office.hours,order.after.office.hours,"After Office Hours","Setelah Jam Kerja",
order.morethen.3.months,order.morethen.3.months,"More Then 3 Months","Lebih Dari 3 Bulan",
order.lessthen.3.months,order.lessthen.3.months,"Less Then 3 Month","Kurang Dari 3 Bulan",
order.title,order.title,"Rental Form","Formulir Penyewaan",
order.description,order.description,"Fill in the form to order.","Isi formulir ini untuk order.",
customer.satisfactio,customer.satisfactio,,,
our.customer.satisfaction,our.customer.satisfaction,,,
aceh,Aceh,,,
bali,Bali,,,
banten,Banten,,,
bengkulu,Bengkulu,,,
dki.yogyakarta,"DKI Yogyakarta",,,
dki.jakarta,"DKI Jakarta",,,
gorontalo,Gorontalo,,,
jambi,Jambi,,,
jawa.barat,"Jawa Barat",,,
jawa.tengah,"Jawa Tengah",,,
jawa.timur,"Jawa Timur",,,
kalimantan.barat,"Kalimantan Barat",,,
kalimantan.selatan,"Kalimantan Selatan",,,
kalimantan.tengah,"Kalimantan Tengah",,,
kalimantan.timur,"Kalimantan Timur",,,
kalimantan.utara,"Kalimantan Utara",,,
kepulauan.bangka.belitung,"Kepulauan Bangka Belitung",,,
kepulauan.riau,"Kepulauan Riau",,,
lampung,Lampung,,,
maluku,Maluku,,,
maluku.utara,"Maluku Utara",,,
nusa.tenggara.barat,"Nusa Tenggara Barat",,,
nusa.tenggara.timur,"Nusa Tenggara Timur",,,
papua,Papua,,,
papua.barat,"Papua Barat",,,
riau,Riau,,,
sulawesi.barat,"Sulawesi Barat",,,
sulawesi.selatan,"Sulawesi Selatan",,,
sulawesi.tengah,"Sulawesi Tengah",,,
sulawesi.tenggara,"Sulawesi Tenggara",,,
sulawesi.utara,"Sulawesi Utara",,,
sumatera.barat,"Sumatera Barat",,,
sumatera.selatan,"Sumatera Selatan",,,
sumatera.utara,"Sumatera Utara",,,
read.less,read_less,"Read Less","Baca lebih sedikit",
order.car.rental.w.driver,order.car.rental.w.driver,,,
auctions,auctions,,,
man.power,man.power,,,
car.rental.with.driver,car.rental.with.driver,,,
rental.mobil,rental.mobil,,,
lelang,lelang,,,
rental.mobil.dengan.sopir,rental.mobil.dengan.sopir,,,
sewa.mobil,sewa.mobil,,,
cp.form.submit,cp.form.submit,Submit,Kirim,
news.page.subtitle,news.page.subtitle,"Latest News","Berita Terbaru Seputar",
news.page.title,news.page.title,"Car Rental and Business","Rental / Sewa Mobil dan Bisnis",
home.page.title,home_page_title,"A Leading Car Rental Company in Indonesia","Perusahaan Rental Mobil Terbesar Di Indonesia",
feedbackform.message,feedbackform.message,"Put your message here! (Optional)","Tulis pesan mu disini! (Opsional)",
feedbackform.message.p,feedbackform.message.p,Message,Pesan,
feedbackform.rating,feedbackform.rating,"How would you rate the look and feel of the website?","Bagaimana Anda menilai tampilan dan nuansa situs web kami?",
feedbackform.title,feedbackform.title,Feedback,"Umpan balik",
